Image Name                     PID Session Name        Session#    Mem Usage
MSI.TerminalServer.exe        6040 Console                    4      3В 800 K
NVDisplay.Container.exe       2020 Services                   0     45В 008 K
NVDisplay.Container.exe       5472 Console                    4     61В 212 K
OneApp.IGCC.WinService.ex     4256 Services                   0     42В 164 K
OneDrive.exe                  8760 Console                    4    123В 292 K
PhoneExperienceHost.exe      11024 Console                    4    159В 600 K
PhotoScreen.exe              15496 Console                    4     21В 472 K
Registry                       196 Services                   0     80В 676 K
RtkAudUService64.exe          4428 Services                   0     12В 144 K
RtkAudUService64.exe          6796 Console                    4     13В 664 K
RuntimeBroker.exe             1692 Console                    4     31В 004 K
RuntimeBroker.exe             4588 Console                    4     19В 424 K
RuntimeBroker.exe             9340 Console                    4     11В 744 K
RuntimeBroker.exe            10992 Console                    4     19В 980 K
RuntimeBroker.exe            13892 Console                    4     30В 632 K
RuntimeBroker.exe            15420 Console                    4     11В 372 K
RuntimeBroker.exe            15644 Console                    4     21В 664 K
SearchApp.exe                 5628 Console                    4    235В 600 K
SearchFilterHost.exe          6872 Services                   0      8В 276 K
SearchIndexer.exe             6828 Services                   0     50В 120 K
SearchProtocolHost.exe        2316 Services                   0     16В 892 K
SecurityHealthService.exe    12548 Services                   0     20В 304 K
SecurityHealthSystray.exe    13480 Console                    4     10В 372 K
services.exe                  1016 Services                   0     11В 016 K
ShellExperienceHost.exe       1960 Console                    4     68В 528 K
sihost.exe                   11052 Console                    4     29В 464 K
smss.exe                       624 Services                   0      1В 320 K
spoolsv.exe                   3456 Services                   0     15В 448 K
StartMenuExperienceHost.e     3832 Console                    4     82В 328 K
svchost.exe                    936 Services                   0     14В 116 K
svchost.exe                   1068 Services                   0     31В 272 K
svchost.exe                   1188 Services                   0     17В 812 K
svchost.exe                   1272 Services                   0     10В 936 K
svchost.exe                   1412 Services                   0     12В 352 K
svchost.exe                   1508 Services                   0      9В 248 K
svchost.exe                   1528 Services                   0     19В 948 K
svchost.exe                   1536 Services                   0     11В 384 K
svchost.exe                   1552 Services                   0     18В 652 K
svchost.exe                   1624 Services                   0      5В 468 K
svchost.exe                   1752 Services                   0      8В 684 K
svchost.exe                   1816 Services                   0      7В 240 K
svchost.exe                   1988 Services                   0     11В 332 K
svchost.exe                   2012 Services                   0      7В 036 K
svchost.exe                   2028 Services                   0     15В 900 K
svchost.exe                   2068 Services                   0      9В 576 K
svchost.exe                   2116 Services                   0      9В 776 K
svchost.exe                   2140 Services                   0      5В 264 K
svchost.exe                   2196 Services                   0     14В 000 K
