Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   1068 Services                   0     31В 620 K
svchost.exe                   1188 Services                   0     17В 972 K
svchost.exe                   1272 Services                   0     10В 956 K
svchost.exe                   1412 Services                   0     12В 372 K
svchost.exe                   1508 Services                   0      9В 248 K
svchost.exe                   1528 Services                   0     19В 692 K
svchost.exe                   1536 Services                   0     11В 520 K
svchost.exe                   1552 Services                   0     18В 644 K
svchost.exe                   1624 Services                   0      5В 468 K
svchost.exe                   1752 Services                   0      8В 748 K
svchost.exe                   1816 Services                   0      7В 216 K
svchost.exe                   1988 Services                   0     11В 336 K
svchost.exe                   2012 Services                   0      7В 052 K
svchost.exe                   2028 Services                   0     15В 908 K
svchost.exe                   2068 Services                   0      9В 632 K
svchost.exe                   2116 Services                   0      9В 600 K
svchost.exe                   2140 Services                   0      5В 264 K
svchost.exe                   2196 Services                   0     14В 040 K
svchost.exe                   2204 Services                   0      4В 896 K
svchost.exe                   2212 Services                   0      7В 104 K
svchost.exe                   2356 Services                   0      9В 116 K
svchost.exe                   2440 Services                   0      7В 916 K
svchost.exe                   2456 Services                   0      8В 204 K
svchost.exe                   2468 Services                   0      8В 464 K
svchost.exe                   2524 Console                    4     22В 100 K
svchost.exe                   2596 Services                   0      6В 616 K
svchost.exe                   2848 Services                   0      9В 456 K
svchost.exe                   2916 Services                   0      6В 472 K
svchost.exe                   2948 Services                   0     13В 712 K
svchost.exe                   2964 Services                   0      7В 048 K
svchost.exe                   3020 Services                   0      8В 028 K
svchost.exe                   3172 Services                   0      9В 544 K
svchost.exe                   3196 Services                   0     12В 948 K
svchost.exe                   3204 Services                   0      9В 028 K
svchost.exe                   3212 Services                   0     10В 884 K
svchost.exe                   3272 Services                   0     14В 284 K
svchost.exe                   3300 Services                   0     13В 572 K
svchost.exe                   3416 Services                   0     16В 088 K
svchost.exe                   3472 Services                   0      7В 128 K
svchost.exe                   3500 Services                   0     32В 796 K
svchost.exe                   3596 Services                   0     18В 148 K
svchost.exe                   3776 Services                   0      7В 248 K
svchost.exe                   3784 Services                   0      7В 208 K
svchost.exe                   3800 Services                   0     20В 884 K
svchost.exe                   3836 Services                   0      8В 452 K
svchost.exe                   4036 Services                   0     15В 272 K
svchost.exe                   4112 Services                   0     34В 088 K
svchost.exe                   4120 Services                   0     10В 220 K
svchost.exe                   4128 Services                   0      5В 556 K
svchost.exe                   4144 Services                   0     49В 904 K
svchost.exe                   4152 Services                   0     22В 224 K
svchost.exe                   4160 Services                   0      4В 684 K
svchost.exe                   4176 Services                   0      7В 820 K
svchost.exe                   4496 Console                    4     34В 388 K
svchost.exe                   4516 Services                   0      5В 220 K
svchost.exe                   4784 Services                   0      4В 788 K
svchost.exe                   4844 Services                   0     12В 188 K
svchost.exe                   4904 Services                   0      5В 644 K
svchost.exe                   5300 Console                    4     23В 192 K
svchost.exe                   6340 Services                   0      8В 460 K
svchost.exe                   6904 Services                   0     11В 368 K
svchost.exe                   7260 Services                   0      7В 788 K
svchost.exe                   7336 Services                   0     12В 148 K
svchost.exe                   7488 Services                   0     18В 004 K
svchost.exe                   7744 Services                   0     10В 316 K
svchost.exe                   7840 Services                   0      6В 312 K
svchost.exe                   7876 Services                   0      7В 700 K
svchost.exe                   7932 Services                   0      9В 864 K
svchost.exe                   8592 Services                   0      9В 460 K
svchost.exe                   9244 Services                   0     25В 252 K
svchost.exe                  11452 Services                   0     10В 760 K
svchost.exe                  13544 Console                    4     20В 012 K
svchost.exe                  14084 Services                   0     20В 336 K
svchost.exe                  14304 Services                   0     12В 396 K
svchost.exe                  14940 Services                   0      6В 780 K
svchost.exe                  15320 Services                   0     12В 716 K
svchost.exe                  16452 Services                   0      8В 568 K
svchost.exe                  16684 Console                    4     12В 408 K
System                           4 Services                   0        136 K
System Idle Process              0 Services                   0          8 K
SystemSettings.exe            6928 Console                    4      3В 272 K
taskhostw.exe                 3932 Console                    4      8В 200 K
taskhostw.exe                14516 Console                    4     16В 832 K
tasklist.exe                 16868 Console                    4     10В 528 K
TextInputHost.exe            11304 Console                    4     55В 668 K
uhssvc.exe                   15724 Services                   0      6В 720 K
unsecapp.exe                  3376 Services                   0     10В 532 K
unsecapp.exe                 14952 Console                    4      8В 260 K
UserOOBEBroker.exe           10644 Console                    4     10В 436 K
vapm.exe                       984 Services                   0     48В 048 K
WebAccessAgent.exe           14452 Console                    4     56В 720 K
wininit.exe                    944 Services                   0      6В 532 K
winlogon.exe                 10252 Console                    4     11В 772 K
WmiPrvSE.exe                  6000 Services                   0     38В 796 K
WmiPrvSE.exe                  6404 Services                   0     12В 300 K
WmiPrvSE.exe                  9912 Services                   0     12В 936 K
WMIRegistrationService.ex     4440 Services                   0     12В 560 K
