Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   3300 Services                   0     13В 572 K
svchost.exe                   3416 Services                   0     15В 792 K
svchost.exe                   3472 Services                   0      7В 140 K
svchost.exe                   3500 Services                   0     33В 576 K
svchost.exe                   3596 Services                   0     18В 224 K
svchost.exe                   3776 Services                   0      7В 248 K
svchost.exe                   3784 Services                   0      7В 204 K
svchost.exe                   3800 Services                   0     20В 888 K
svchost.exe                   3836 Services                   0      8В 408 K
svchost.exe                   4036 Services                   0     19В 752 K
svchost.exe                   4112 Services                   0     27В 392 K
svchost.exe                   4120 Services                   0     10В 220 K
svchost.exe                   4128 Services                   0      5В 556 K
svchost.exe                   4144 Services                   0     49В 928 K
svchost.exe                   4152 Services                   0     22В 260 K
svchost.exe                   4160 Services                   0      4В 684 K
svchost.exe                   4176 Services                   0      7В 820 K
svchost.exe                   4496 Console                    4     33В 660 K
svchost.exe                   4516 Services                   0      4В 484 K
svchost.exe                   4784 Services                   0      4В 788 K
svchost.exe                   4844 Services                   0     12В 200 K
svchost.exe                   4904 Services                   0      5В 644 K
svchost.exe                   5300 Console                    4     21В 644 K
svchost.exe                   6340 Services                   0      8В 460 K
svchost.exe                   6904 Services                   0     11В 332 K
svchost.exe                   7260 Services                   0      7В 788 K
svchost.exe                   7336 Services                   0     12В 148 K
svchost.exe                   7488 Services                   0     18В 100 K
svchost.exe                   7840 Services                   0      6В 312 K
svchost.exe                   7876 Services                   0      7В 700 K
svchost.exe                   7932 Services                   0      9В 876 K
svchost.exe                   8592 Services                   0      9В 476 K
svchost.exe                   9244 Services                   0     25В 332 K
svchost.exe                  11452 Services                   0     10В 760 K
svchost.exe                  13544 Console                    4     19В 700 K
svchost.exe                  14084 Services                   0     20В 344 K
svchost.exe                  14304 Services                   0     12В 416 K
svchost.exe                  14940 Services                   0      6В 780 K
svchost.exe                  15320 Services                   0     12В 712 K
svchost.exe                  16684 Console                    4     12В 404 K
svchost.exe                  17052 Services                   0      8В 508 K
System                           4 Services                   0        136 K
System Idle Process              0 Services                   0          8 K
SystemSettings.exe            6928 Console                    4     18В 000 K
taskhostw.exe                 3932 Console                    4     12В 964 K
taskhostw.exe                14516 Console                    4     17В 524 K
tasklist.exe                  4580 Console                    4     10В 552 K
TextInputHost.exe            11304 Console                    4     56В 012 K
uhssvc.exe                   15724 Services                   0      6В 720 K
unsecapp.exe                  3376 Services                   0     10В 288 K
unsecapp.exe                 14952 Console                    4      8В 260 K
UserOOBEBroker.exe           10644 Console                    4     10В 436 K
vapm.exe                       984 Services                   0     48В 032 K
WebAccessAgent.exe           14452 Console                    4     56В 720 K
wininit.exe                    944 Services                   0      6В 532 K
winlogon.exe                 10252 Console                    4     11В 732 K
WmiPrvSE.exe                  6000 Services                   0     39В 608 K
WmiPrvSE.exe                  6404 Services                   0     12В 300 K
WmiPrvSE.exe                  9912 Services                   0     12В 896 K
WMIRegistrationService.ex     4440 Services                   0     12В 560 K
